id	user_id	is_submitted	is_save	org_code	loc_code	form_id	sec_id	sub_sec_id	application_group	app_doc_id	app_id	ques_code	ans_code	ans_val_txt	ans_val_text_name	ans_val_num	ans_val_date	ans_type	status	display_seq	soft_del_status	remarks	created_by	create_date	modified_by	modified_date	is_visible	is_enable	is_overdue
1732562	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	1	null	5252	now1234asd	Ap003	1	anscode	123456	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732563	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	null	5252	now1234asd	Ap003	2	anscode		null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732564	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	null	5252	now1234asd	Ap003	3	anscode	now1234asd789	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732565	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	null	5252	now1234asd	Ap003	5	anscode	BTS-Comfort Arcade Karachi	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732566	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	3	5252	now1234asd	Ap003	6	anscode	1	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732567	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	3	5252	now1234asd	Ap003	7	anscode	2	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732568	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	3	5252	now1234asd	Ap003	8	anscode	3	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732569	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	3	5252	now1234asd	Ap003	9	anscode	"BC-14, Block-7, Clifton"	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732570	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	4	5252	now1234asd	Ap003	10	anscode	"24,50,0,N"	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732571	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	4	5252	now1234asd	Ap003	11	anscode	"67,2,0,E"	null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
1732572	4	FALSE	FALSE	NULL	NULL	BTS&MicrowaveBoth	28	4	5252	now1234asd	Ap003	12	anscode		null	ansvalnum	ansvaldate	anstype	Incomplete	displayseq	a	null	null	00:00.0	NULL	NULL	TRUE	TRUE	0
